Label,fish-in-nuclei,C2-in-nuclei,C4-in-nuclei,fish-in-cyto,C2-in-cyto,C4-in-cyto,X,Y,Z,Volume
104,6.173,1.874,6.654,6.355,1.159,5.052,408.439,795.573,44.496,8928
105,7.049,1.593,7.328,7.296,1.392,6.174,584.516,832.148,45.121,1524
106,30.624,3.046,64.877,50.009,3.570,24.455,664.016,349.617,46.452,27496
107,8.892,1.684,38.231,7.800,1.216,9.137,283.345,454.413,46.632,31200
108,7.400,1.367,6.798,8.596,1.382,8.965,570.282,97.661,47.447,46888
109,12.411,2.524,47.035,19.183,3.080,22.430,340.588,293.996,46.570,25008
110,8.053,1.909,6.313,5.486,0.842,3.910,280.497,540.459,46.862,48124
111,9.187,16.375,9.149,18.272,5.590,17.445,536.119,248.019,46.775,44312
112,20.506,2.451,105.642,37.393,3.229,26.293,462.323,429.118,46.988,29588
113,6.850,1.544,6.672,7.519,1.832,8.308,658.069,692.504,46.683,59212
114,19.714,3.184,122.133,28.961,4.143,26.737,447.122,381.001,47.539,17264
115,8.440,1.866,89.088,8.926,2.055,22.360,714.371,412.037,50.655,33760
116,7.893,1.405,7.389,9.825,1.914,12.309,289.419,242.079,47.671,14768
117,11.129,2.563,105.264,11.883,2.548,24.111,656.760,414.313,48.687,17544
118,14.223,3.191,61.637,22.392,3.777,20.137,534.505,442.215,47.946,20604
119,7.260,1.400,6.854,7.177,1.279,7.471,685.357,164.838,50.659,49348
120,8.025,1.377,6.684,8.588,1.325,7.745,368.190,126.287,49.787,38292
121,9.725,2.032,68.574,13.770,2.277,21.794,710.302,300.780,49.867,23244
122,8.532,1.728,48.438,8.375,1.602,13.031,282.860,386.780,52.425,32028
123,9.471,2.741,11.311,8.807,2.025,8.788,659.201,750.359,50.825,6988
124,11.026,2.567,7.430,7.513,1.144,4.593,625.270,880.561,51.265,35136
125,7.015,1.567,7.007,8.014,1.753,9.024,775.106,457.353,52.013,46800
126,14.503,2.327,77.759,15.681,2.532,23.726,364.496,236.727,52.030,24880
127,9.117,2.706,11.224,7.483,1.845,7.564,703.566,734.897,52.000,1148
128,11.597,3.209,44.534,14.785,2.836,21.573,504.580,308.429,52.983,27968
129,13.414,2.623,85.890,17.187,2.835,21.367,559.958,402.631,52.776,33796
130,9.902,2.158,82.543,13.121,2.143,19.508,321.050,348.409,52.725,57072
131,10.675,2.658,8.204,3.961,0.614,2.329,201.310,703.862,53.684,29496
132,7.266,1.594,6.737,8.226,2.031,9.173,723.194,622.704,53.840,69468
133,7.920,1.545,6.232,7.399,1.325,5.800,440.017,834.427,54.122,48352
134,13.622,2.253,44.208,20.615,2.469,29.557,617.794,202.439,55.421,26988
135,9.986,2.006,11.741,9.073,1.695,9.676,217.616,369.280,55.222,38776
136,13.641,3.231,7.701,7.580,1.154,4.416,537.325,913.533,53.967,19408
137,15.798,2.488,24.318,24.830,2.604,27.858,471.143,202.302,57.270,7920
138,11.501,2.070,66.791,18.239,2.205,25.465,472.323,142.290,56.055,16044
139,10.221,2.227,7.075,5.086,0.579,2.372,304.403,863.899,56.964,37020
140,10.045,1.993,84.517,13.324,2.115,24.798,549.845,159.733,58.642,23436
141,14.466,2.549,64.916,22.995,2.721,29.908,549.584,213.051,57.228,22716
142,7.944,1.561,7.025,7.057,1.239,7.134,753.660,234.084,57.889,19480
143,17.280,2.294,68.892,26.427,2.576,25.172,656.096,264.593,58.090,32076
144,8.873,1.762,7.661,6.452,1.199,5.460,253.473,657.808,57.487,48408
145,7.449,1.502,6.175,6.430,1.163,5.011,334.376,681.811,58.268,31272
146,7.995,1.414,7.564,8.180,1.403,8.939,259.095,258.277,61.147,50512
147,11.294,2.299,70.538,19.646,2.258,25.373,678.294,328.542,59.434,21312
148,7.095,1.492,6.163,5.473,1.200,5.136,407.507,610.121,59.199,50316
149,7.058,1.579,6.980,7.590,1.841,8.618,748.956,522.906,60.914,30540
150,6.610,1.429,5.821,6.145,1.344,5.673,498.870,582.513,59.671,38324
151,7.654,1.370,7.372,8.730,1.304,8.663,488.907,99.530,61.772,46744
152,12.026,1.905,75.339,21.327,2.227,30.762,479.087,165.661,61.230,8896
153,11.233,2.213,36.667,17.176,2.386,19.570,573.304,304.864,60.881,27556
154,7.345,1.369,6.434,8.317,1.597,8.048,409.181,454.796,62.614,60408
155,7.730,1.548,7.288,8.817,1.975,9.183,520.959,448.982,62.167,86316
156,10.244,1.997,97.247,11.036,2.068,23.376,324.722,295.779,63.249,22816
157,7.603,1.604,7.665,6.754,1.272,7.278,742.562,309.112,63.595,43024
158,8.280,1.585,7.403,7.146,1.371,6.603,278.467,537.298,63.217,50416
159,6.534,1.456,5.926,6.019,1.406,6.053,634.979,568.892,63.606,51548
160,7.425,1.296,5.514,7.173,1.105,4.940,327.538,810.996,63.813,50460
161,7.183,1.583,8.302,7.052,1.468,7.976,712.196,395.954,64.383,44584
162,7.573,1.642,6.649,8.004,1.888,7.931,688.978,666.712,64.326,48464
163,7.912,1.688,6.855,8.522,1.493,6.493,594.880,909.919,64.473,40084
164,7.282,1.236,6.680,6.962,1.112,7.291,617.606,123.766,64.802,41368
165,6.259,1.300,5.930,6.074,1.237,6.147,670.086,484.664,65.125,61460
166,11.224,1.977,32.843,21.066,2.188,19.575,389.488,245.268,65.063,56056
167,11.130,2.309,8.325,5.880,0.737,3.710,202.381,508.641,66.102,34952
168,6.686,1.385,5.646,7.784,1.602,7.003,651.422,793.283,63.827,76648
169,6.963,1.398,5.962,5.557,1.176,4.936,489.840,686.843,66.579,46140
170,10.687,2.228,77.333,12.587,1.932,20.424,599.830,231.912,67.055,68772
171,13.755,2.090,50.823,27.206,2.273,24.078,472.898,255.728,66.908,34856
172,9.581,1.998,11.578,8.395,1.682,9.355,223.250,396.675,67.373,34920
173,7.284,2.274,10.019,6.451,1.425,6.354,390.923,499.236,66.551,7424
174,5.937,1.714,7.098,6.766,1.700,7.146,565.663,506.182,67.054,2064
175,8.453,2.789,12.616,8.644,2.066,9.713,358.934,437.360,67.364,1032
176,7.409,1.509,5.970,7.001,1.398,5.790,417.262,756.795,66.834,31228
177,6.532,1.352,5.853,7.553,1.211,6.880,370.240,162.054,67.600,7144
178,6.810,1.429,5.871,6.613,1.344,5.897,578.115,662.925,68.864,40140
179,10.067,1.877,24.310,14.850,1.976,17.212,484.555,197.255,70.813,27116
180,7.227,1.303,7.032,6.008,0.973,6.428,669.543,188.556,72.430,48704
181,6.569,1.368,5.514,5.493,1.031,4.414,558.726,748.129,71.642,33772
182,7.101,1.468,6.916,7.761,1.583,9.341,433.485,361.975,74.627,66800
183,7.414,1.963,7.859,6.654,1.282,6.353,262.318,433.298,72.674,4704
184,8.879,1.717,6.950,6.350,1.284,5.242,458.034,818.771,72.982,43408
185,6.968,1.391,6.867,5.656,1.006,5.938,658.384,317.698,74.027,54820
186,6.373,1.410,7.116,6.783,1.431,7.340,568.560,371.149,73.658,46524
187,7.207,1.412,6.406,6.302,1.107,4.963,559.652,857.966,73.549,33900
188,12.483,1.962,8.553,7.524,0.682,3.888,436.209,95.849,74.285,28760
189,7.544,1.317,6.898,7.351,1.140,7.516,335.246,231.390,74.993,27012
190,7.146,1.860,7.648,6.870,1.274,6.538,316.964,376.960,76.425,3516
191,7.839,1.537,4.786,3.233,0.405,1.544,492.418,958.232,76.259,28224
192,7.605,1.229,6.799,6.180,0.896,6.082,507.946,144.907,76.926,44624
193,7.671,3.041,12.716,5.640,1.260,5.269,548.603,792.111,77.553,4952
194,7.954,1.390,8.403,6.338,0.977,6.281,429.288,198.438,78.414,51996
195,7.331,1.324,6.555,6.718,1.097,6.651,364.503,311.525,78.856,31716
196,7.264,1.369,7.925,6.101,1.041,6.356,526.628,266.372,79.910,62188
197,8.399,2.388,10.794,5.027,0.971,3.880,424.014,842.276,80.764,12284
198,8.476,1.802,5.373,5.365,0.850,3.354,659.785,724.303,82.045,33820
